,TIME,Скорость автомобиля,Число оборотов коленвала
,0.01,60,1558.0
,0.11,60,1559.5
,0.21,60,1555.5
,0.30,60,1563.5
,0.40,61,1564.5
,0.50,61,1581.0
,0.60,61,1594.0
,0.70,61,1599.0
,0.81,62,1606.5
,0.91,62,1610.5
,1.01,62,1620.5
,1.11,63,1633.5
,1.21,63,1646.0
,1.31,64,1660.5
,1.42,64,1670.5
,1.52,65,1686.0
,1.62,65,1703.0
,1.72,66,1715.0
,1.82,67,1736.5
,1.93,67,1752.5
,2.03,68,1776.0
,2.13,69,1789.0
,2.23,70,1812.5
,2.33,71,1829.0
,2.43,71,1861.0
,2.53,72,1881.5
,2.63,73,1899.5
,2.73,74,1922.0
,2.83,75,1942.5
,2.93,76,1964.0
,3.03,76,1985.0
,3.13,77,2006.0
,3.23,78,2032.0
,3.33,79,2055.5
,3.43,80,2074.0
,3.53,80,2096.0
,3.63,81,2116.0
,3.73,82,2143.5
,3.83,83,2160.5
,3.93,84,2189.0
,4.03,85,2215.0
,4.12,86,2232.5
,4.22,87,2253.0
,4.32,87,2273.0
,4.42,88,2293.0
,4.52,89,2318.0
,4.62,90,2337.0
,4.72,91,2357.0
,4.82,92,2383.5
,4.92,93,2406.5
,5.02,94,2428.0
,5.12,94,2446.5
,5.22,95,2473.5
,5.32,96,2494.0
,5.42,97,2515.5
,5.52,98,2542.5
,5.62,99,2562.0
,5.72,100,2581.5
,5.82,101,2608.5
,5.91,101,2625.0
,6.01,102,2648.5
,6.10,103,2672.5
,6.20,104,2684.5
,6.30,105,2712.5
,6.40,106,2729.5
,6.50,106,2755.0
,6.60,107,2777.0
,6.70,108,2798.5
,6.80,109,2818.0
,6.89,110,2838.0
,6.99,111,2859.5
,7.10,112,2880.0
,7.20,112,2899.0
,7.30,113,2923.5
,7.40,114,2943.0
,7.51,115,2969.0
,7.61,116,2989.0
,7.71,116,3004.0
,7.81,117,3029.0
,7.91,118,3054.0
,8.01,119,3068.5
,8.11,120,3097.0
,8.21,121,3111.0
,8.31,121,3130.0
,8.41,122,3154.5
,8.51,123,3171.0
,8.61,124,3187.0
,8.71,124,3214.0
,8.81,125,3232.0
,8.91,126,3249.5
,9.02,127,3267.0
,9.12,128,3289.0
,9.23,128,3316.0
,9.33,129,3337.5
,9.43,130,3352.5
,9.53,131,3372.5
,9.63,131,3392.5
,9.73,132,3414.5
,9.83,133,3432.0
,9.93,134,3453.5
,10.03,134,3466.0
,10.13,135,3487.0
,10.23,136,3503.5
,10.33,137,3526.5
,10.43,138,3550.0
,10.52,138,3571.5
,10.62,139,3585.0
,10.72,140,3600.0
,10.82,140,3617.0
,10.93,141,3637.5
,11.03,142,3665.5
,11.13,143,3679.0
,11.23,143,3697.0
,11.33,144,3711.5
,11.43,145,3726.0
,11.53,146,3752.5
,11.63,146,3769.0
,11.73,147,3794.0
,11.83,148,3807.0
,11.94,149,3821.0
,12.04,149,3840.0
,12.13,150,3858.5
,12.23,151,3873.5
,12.33,151,3893.0
,12.43,152,3904.5
,12.53,152,3923.5
,12.63,153,3947.5
,12.73,154,3960.0
,12.83,154,3979.0
,12.93,155,3991.5
,13.03,156,4007.5
,13.13,156,4025.5
,13.23,157,4040.0
,13.33,158,4051.5
,13.43,158,4073.0
,13.53,159,4092.0
,13.63,159,4102.0
,13.73,160,4111.5
,13.83,160,4123.5
,13.93,161,4140.5
,14.03,161,4152.5
,14.13,162,4167.0
,14.23,162,4185.5
,14.33,162,4194.0
,14.43,163,4206.5
,14.53,163,4205.5
,14.63,163,4213.0
